Cell ID,Cell birth time,Cell age,stat0,Long axis (L) birth,Long axis (L) death,Short axis birth,Short axis death,Area birth,Area death,Fluor1 sum,Fluor1 mean,Mother ID,Daughter1 ID,Daughter2 ID,L death / L birth,Fluor1 sum death,Fluor1 mean death,Long axis/Short axis birth,Long axis/Short axis death,Growth Rate,Volume birth,Volume division,Vd-Vb,fov,Time Division
91.0,69.0,54.0,2.0,23.0,38.0,7.408085616475417,8.525525368460391,172.0,324.0,196752.0,1143.906976744186,44.0,133.0,134.0,1.6521739130434783,392850.0,1212.5,3.104715737740465,4.4572033226924,0.02789399687762422,1.074973043130888,2.4381002432102843,1.3631272000793964,xy1,123.0
92.0,69.0,45.0,2.0,22.0,36.0,8.744620017335848,8.20288467713593,193.0,296.0,231030.0,1197.0466321243523,44.0,129.0,130.0,1.6363636363636365,447294.0,1511.1283783783783,2.515832586937558,4.388700002127732,0.032831765673186256,1.3923873581964434,2.1355664271709798,0.7431790689745363,xy1,114.0
99.0,78.0,60.0,2.0,19.0,35.0,8.497526502701646,7.79908101391831,165.0,281.0,184172.0,1116.1939393939394,45.0,147.0,148.0,1.8421052631578947,441169.0,1569.9964412811387,2.2359447768664524,4.487708223255879,0.030545454116148663,1.1138092683948786,1.8802652477172872,0.7664559793224086,xy1,138.0
100.0,78.0,69.0,2.0,18.0,35.0,8.848737373898746,7.622885976570871,160.0,271.0,181370.0,1133.5625,45.0,164.0,165.0,1.9444444444444444,379421.0,1400.0774907749078,2.0341885219799685,4.591436905598925,0.028912013199706477,1.1243315452968352,1.799523951034022,0.6751924057371868,xy1,147.0
122.0,108.0,96.0,2.0,17.0,36.0,8.7768232921106,9.047310989926423,151.0,326.0,298566.0,1977.2582781456954,47.0,226.0,227.0,2.1176470588235294,485729.0,1489.9662576687117,1.9369194792016755,3.979082850151122,0.02344704982499668,1.0343975873893911,2.575897177584504,1.5414995901951127,xy1,204.0
123.0,108.0,69.0,2.0,17.0,36.0,8.027849316003262,7.908063454271284,141.0,285.0,254381.0,1804.1205673758866,47.0,192.0,193.0,2.1176470588235294,479079.0,1680.9789473684211,2.1176281879271253,4.5523155205027805,0.03262198236521277,0.8807393474501668,1.9906791497597314,1.1099398023095646,xy1,177.0
129.0,117.0,84.0,2.0,20.0,34.0,7.381473171124711,8.704608892251148,150.0,296.0,239632.0,1597.5466666666666,92.0,224.0,225.0,1.7,417859.0,1411.6858108108108,2.7094862416132863,3.9059767556319316,0.018951008966506096,0.9117728604954072,2.248125748197856,1.3363528877024489,xy1,201.0
142.0,132.0,51.0,2.0,22.0,38.0,8.024733857155367,7.775162433215806,185.0,312.0,312896.0,1691.3297297297297,106.0,201.0,202.0,1.7272727272727273,603943.0,1935.7147435897436,2.7415239423028828,4.887357701706973,0.032149629786357034,1.187314882454121,2.042240582825022,0.854925700370901,xy1,183.0
148.0,141.0,90.0,2.0,18.0,35.0,7.271516159267242,7.564154338048614,132.0,281.0,211492.0,1602.2121212121212,99.0,251.0,252.0,1.9444444444444444,333900.0,1188.256227758007,2.475412225696529,4.627086973086437,0.02216587678644163,0.7857665231202614,1.7729700807398432,0.9872035576195818,xy1,231.0
151.0,141.0,117.0,2.0,19.0,33.0,7.394241099194035,7.909411770282521,149.0,274.0,220201.0,1477.8590604026845,94.0,276.0,277.0,1.736842105263158,316652.0,1155.6642335766423,2.5695672814984327,4.172244530748619,0.014155604674359999,0.8625438788748006,1.8122735967916492,0.9497297179168487,xy1,258.0
152.0,141.0,66.0,2.0,24.0,37.0,6.923959183214272,7.80021852962326,168.0,291.0,227986.0,1357.0595238095239,94.0,228.0,229.0,1.5416666666666667,559281.0,1921.9278350515465,3.4662249393646207,4.743456847969496,0.0196756401043763,0.9921835124186974,1.99689027776441,1.0047067653457127,xy1,207.0
164.0,150.0,78.0,2.0,17.0,36.0,7.339890294914125,7.963377764978558,127.0,287.0,186226.0,1466.3464566929133,100.0,246.0,247.0,2.1176470588235294,391524.0,1364.1951219512196,2.3161109113278506,4.520694743168062,0.02885790747691899,0.7480417631381087,2.017509277568688,1.2694675144305794,xy1,228.0
181.0,165.0,81.0,2.0,22.0,44.0,7.488304062355208,7.65555442707483,168.0,342.0,240483.0,1431.4464285714287,93.0,266.0,267.0,2.0,390464.0,1141.7076023391812,2.937914889246711,5.747460934297387,0.02567211779851648,1.043449684950593,2.317616489044582,1.2741668040939889,xy1,246.0
182.0,165.0,78.0,2.0,19.0,34.0,7.427281742677663,7.750719340640039,147.0,271.0,218151.0,1484.0204081632653,93.0,259.0,260.0,1.7894736842105263,379712.0,1401.1512915129151,2.5581364297552787,4.3866896097920565,0.022381597901912357,0.8696898780367401,1.8006278011067491,0.930937923070009,xy1,243.0
192.0,180.0,69.0,2.0,17.0,39.0,8.209599174461369,7.860150557856657,142.0,308.0,246105.0,1733.1338028169014,123.0,271.0,272.0,2.2941176470588234,457610.0,1485.7467532467533,2.0707466514180175,4.961737019275965,0.036102100090149136,0.9171748699707654,2.1444057592948647,1.2272308893240993,xy1,249.0
203.0,192.0,213.0,2.0,16.0,62.0,7.547707208844979,8.381223886136743,122.0,522.0,183807.0,1506.6147540983607,149.0,399.0,400.0,3.875,987203.0,1891.1934865900382,2.1198490557834546,7.3974876273802055,0.01907810792683536,0.7328837902469991,3.9679449861929967,3.2350611959459976,xy1,405.0
226.0,207.0,63.0,2.0,21.0,36.0,8.59843619115349,8.042878603957455,183.0,302.0,273462.0,1494.327868852459,122.0,285.0,286.0,1.7142857142857142,482865.0,1598.890728476821,2.4423045694757692,4.476009370859631,0.025666500034889853,1.2791227238272806,2.0563576585257777,0.777234934698497,xy1,270.0
227.0,207.0,129.0,2.0,17.0,50.0,8.5445276226721,8.42,148.0,421.0,212239.0,1434.0472972972973,122.0,346.0,347.0,2.9411764705882355,686734.0,1631.1971496437054,1.9895775109781495,5.938242280285036,0.02508859677609139,0.9857611055178853,3.192184436870028,2.2064233313521426,xy1,336.0
229.0,210.0,87.0,2.0,20.0,39.0,7.174757109309381,8.129950577392945,146.0,320.0,272850.0,1868.835616438356,152.0,305.0,306.0,1.95,751624.0,2348.825,2.7875508111695697,4.797077132110469,0.023028599054332945,0.8648042078117444,2.2884747025549217,1.4236704947431773,xy1,297.0
